fecha,spi_1,spi_3,spi_6,fuente,metodo,periodo_calibracion
1981-01-01,-0.760986,,,UCSB-CHG/CHIRPS/DAILY mediante GEE,Ajuste gamma por mes y transformación normal estándar,1981-2025
1981-02-01,-0.824304,,,UCSB-CHG/CHIRPS/DAILY mediante GEE,Ajuste gamma por mes y transformación normal estándar,1981-2025
1981-03-01,0.532818,-0.474698,,UCSB-CHG/CHIRPS/DAILY mediante GEE,Ajuste gamma por mes y transformación normal estándar,1981-2025
1981-04-01,0.442950,0.392148,,UCSB-CHG/CHIRPS/DAILY mediante GEE,Ajuste gamma por mes y transformación normal estándar,1981-2025
1981-05-01,1.712418,1.823799,,UCSB-CHG/CHIRPS/DAILY mediante GEE,Ajuste gamma por mes y transformación normal estándar,1981-2025
1981-06-01,1.267386,1.935530,1.935622,UCSB-CHG/CHIRPS/DAILY mediante GEE,Ajuste gamma por mes y transformación normal estándar,1981-2025
1981-07-01,0.429294,1.786344,1.816650,UCSB-CHG/CHIRPS/DAILY mediante GEE,Ajuste gamma por mes y transformación normal estándar,1981-2025
1981-08-01,0.950303,1.184633,1.785593,UCSB-CHG/CHIRPS/DAILY mediante GEE,Ajuste gamma por mes y transformación normal estándar,1981-2025
1981-09-01,-0.365015,0.388756,1.395478,UCSB-CHG/CHIRPS/DAILY mediante GEE,Ajuste gamma por mes y transformación normal estándar,1981-2025
1981-10-01,-0.429430,-0.041041,1.074029,UCSB-CHG/CHIRPS/DAILY mediante GEE,Ajuste gamma por mes y transformación normal estándar,1981-2025
1981-11-01,-0.614170,-0.909524,0.246897,UCSB-CHG/CHIRPS/DAILY mediante GEE,Ajuste gamma por mes y transformación normal estándar,1981-2025
1981-12-01,0.856878,-0.668370,-0.115368,UCSB-CHG/CHIRPS/DAILY mediante GEE,Ajuste gamma por mes y transformación normal estándar,1981-2025
1982-01-01,1.888562,-0.297926,-0.187157,UCSB-CHG/CHIRPS/DAILY mediante GEE,Ajuste gamma por mes y transformación normal estándar,1981-2025
1982-02-01,0.636751,1.037526,-0.747387,UCSB-CHG/CHIRPS/DAILY mediante GEE,Ajuste gamma por mes y transformación normal estándar,1981-2025
1982-03-01,-1.424802,1.004694,-0.619458,UCSB-CHG/CHIRPS/DAILY mediante GEE,Ajuste gamma por mes y transformación normal estándar,1981-2025
1982-04-01,-0.970256,-1.135357,-0.513521,UCSB-CHG/CHIRPS/DAILY mediante GEE,Ajuste gamma por mes y transformación normal estándar,1981-2025
1982-05-01,2.264948,2.303834,2.453060,UCSB-CHG/CHIRPS/DAILY mediante GEE,Ajuste gamma por mes y transformación normal estándar,1981-2025
1982-06-01,0.367890,1.897392,1.923097,UCSB-CHG/CHIRPS/DAILY mediante GEE,Ajuste gamma por mes y transformación normal estándar,1981-2025
1982-07-01,-0.727645,1.513460,1.446976,UCSB-CHG/CHIRPS/DAILY mediante GEE,Ajuste gamma por mes y transformación normal estándar,1981-2025
1982-08-01,-2.377553,-1.075931,0.551552,UCSB-CHG/CHIRPS/DAILY mediante GEE,Ajuste gamma por mes y transformación normal estándar,1981-2025
1982-09-01,-0.285571,-1.359696,0.335319,UCSB-CHG/CHIRPS/DAILY mediante GEE,Ajuste gamma por mes y transformación normal estándar,1981-2025
