fecha,nivel_diario_m
2015-05-10,0.33
2015-05-11,0.3259
2015-05-12,0.3271
2015-05-13,0.3223
2015-05-14,0.3229
2015-05-15,0.3246
2015-05-16,0.3265
2015-05-17,0.3932
2015-05-18,0.4024
2015-05-19,0.3918
2015-05-20,0.38
2015-05-21,0.4007
2015-05-22,0.393
2015-05-23,0.3615
2015-05-24,0.3683
2015-05-25,0.3985
2015-05-26,0.3877
2015-05-27,0.3919
2015-05-28,0.4315
2015-05-29,0.394
2015-05-30,0.3643
2015-05-31,0.3502
2015-06-01,0.3738
2015-06-02,0.3831
2015-06-03,0.3808
2015-06-04,0.3994
2015-06-05,0.4382
2015-06-06,0.5728
2015-06-07,0.6156
2015-06-08,0.5125
2015-06-09,0.4727
2015-06-10,0.5531
2015-06-11,0.6002
2015-06-12,0.646
2015-06-13,0.5784
2015-06-14,0.6057
2015-06-15,0.5479
2015-06-16,0.5205
2015-06-17,0.5088
2015-06-18,0.5422
2015-06-19,0.5365
2015-06-20,0.5571
2015-06-21,0.5703
2015-06-22,0.7076
2015-06-23,0.6266
2015-06-24,0.6555
2015-06-25,0.632
2015-06-26,0.6085
2015-06-27,0.5975
2015-06-28,0.6009
2015-06-29,0.5927
2015-06-30,0.6846
2015-07-01,0.6845
2015-07-02,0.6169
2015-07-03,0.587
2015-07-04,0.5753
2015-07-05,0.5595
2015-07-06,0.5473
2015-07-07,0.613
2015-07-08,0.8153
2015-07-09,0.7252
2015-07-10,0.6627
2015-07-11,0.7094
2015-07-12,0.6708
2015-07-13,0.6424
2015-07-14,0.6024
2015-07-15,0.5807
2015-07-16,0.5642
2015-07-17,0.555
2015-07-18,0.5648
2015-07-19,0.56
2015-07-20,0.5819
2015-07-21,0.5872
2015-07-22,0.5515
2015-07-23,0.5406
2015-07-24,0.541
2015-07-25,0.5366
2015-07-26,0.5248
2015-07-27,0.5149
2015-07-28,0.5004
2015-07-29,0.5034
2015-07-30,0.5073
2015-07-31,0.5033
2015-08-01,0.4974
2015-08-02,0.4871
2015-08-03,0.5085
2015-08-04,0.5056
2015-08-05,0.4928
2015-08-06,0.4877
2015-08-07,0.4969
2015-08-08,0.5059
2015-08-09,0.5004
2015-08-10,0.5307
2015-08-11,0.6025
2015-08-12,0.5889
2015-08-13,0.5746
2015-08-14,0.5406
2015-08-15,0.5213
2015-08-16,0.5245
2015-08-17,0.5701
2015-08-18,0.56
2015-08-19,0.5384
2015-08-20,0.5342
2015-08-21,0.5211
2015-08-22,0.5065
2015-08-23,0.5303
2015-08-24,0.5702
2015-08-25,0.5749
2015-08-26,0.5355
2015-08-27,0.5105
2015-08-28,0.5105
2015-08-29,0.496
2015-08-30,0.4981
2015-08-31,0.5435
2015-09-01,0.5259
2015-09-02,0.521
2015-09-03,0.5122
2015-09-04,0.4991
2015-09-05,0.5169
2015-09-06,0.5117
2015-09-07,0.5361
2015-09-08,0.5267
2015-09-09,0.4959
2015-09-10,0.5153
2015-09-11,0.5153
2015-09-12,0.4879
2015-09-13,0.6848
2015-09-14,0.6233
2015-09-15,0.5676
2015-09-16,0.5489
2015-09-17,0.5126
2015-09-18,0.5483
2015-09-19,0.6592
2015-09-20,0.6091
2015-09-21,0.6129
2015-09-22,0.6565
2015-09-23,0.6575
2015-09-24,0.7902
2015-09-25,0.7913
2015-09-26,0.7061
2015-09-27,0.7283
2015-09-28,0.7562
2015-09-29,0.6126
2015-09-30,0.5802
2015-10-01,0.6406
2015-10-02,0.6161
2015-10-03,0.6114
2015-10-04,0.6387
2015-10-05,0.5866
2015-10-06,0.5567
2015-10-07,0.5385
2015-10-08,0.5268
2015-10-09,0.531
2015-10-10,0.5278
2015-10-11,0.5156
2015-10-12,0.5908
2015-10-13,0.5922
2015-10-14,0.5837
2015-10-15,0.7663
2015-10-16,0.9705
2015-10-17,1.124
2015-10-18,0.7994
2015-10-19,0.8083
2015-10-20,1.1161
2015-10-21,1.5557
2015-10-22,0.922
2015-10-23,0.7188
2015-10-24,0.6814
2015-10-25,0.7282
2015-10-26,0.8692
2015-10-27,0.8289
2015-10-28,0.745
2015-10-29,0.7518
2015-10-30,0.677
2015-10-31,0.703
2015-11-01,0.6268
2015-11-02,0.6069
2015-11-03,0.6049
2015-11-04,0.6196
2015-11-05,0.6182
2015-11-06,0.618
2015-11-07,0.5726
2015-11-08,0.5554
2015-11-09,0.5564
2015-11-10,0.7115
2015-11-11,0.7836
2015-11-12,0.6869
2015-11-13,0.6207
2015-11-14,0.5978
2015-11-15,0.5916
2015-11-16,0.6024
2015-11-17,0.8442
2015-11-18,0.7771
2015-11-19,0.7644
2015-11-20,0.82
2015-11-21,1.1688
2015-11-22,1.2433
2015-11-23,0.836
2015-11-24,0.7073
2015-11-25,0.6498
2015-11-26,0.6216
2015-11-27,0.6224
2015-11-28,0.6071
2015-11-29,0.59
2015-11-30,0.5864
2015-12-01,0.58
2015-12-02,0.5679
2015-12-03,0.5568
2015-12-04,0.5473
2015-12-05,0.5784
